AE 460 Airfoil Pressure Distribution Laboratory


Data Point #, AOA, q_WT corrected, q_corr_fac, AmbTemp, AmbPress, Reynolds #, ,x/c,1.0000,0.8000,0.7000,0.6000,0.5000,0.4000,0.3000,0.2000,0.1000,0.0500,0.0000,0.0500,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,1.0000
#, [deg], [psid], [ND], [Rankine], [psia], [ND], ,y/c,0.0000000,0.0524800,0.0734680,0.0906050,0.1027010,0.1090320,0.1084450,0.1003600,0.0753390,0.0529490,0.0000000,-0.0311500,-0.0351300,-0.0354800,-0.0314600,-0.0270700,-0.0226800,-0.0182800,-0.0138900,-0.0095000,0.0000000
1.0000000,-6.0000000,0.0631446,0.9070000,530.3700000,14.2433500,155288.4218750, ,p[psid],-0.0084700,-0.0153839,-0.0170538,-0.0216480,-0.0255758,-0.0271419,-0.0249549,-0.0223252,0.0022343,0.0324989,-0.0499024,-0.1136617,-0.0590633,-0.0336144,-0.0226614,-0.0159845,-0.0117105,-0.0079577,-0.0044564,-0.0015561,-0.0084700
2.0000000,-4.0000000,0.0620652,0.9070000,530.3700000,14.2433500,153955.4218750, ,p[psid],-0.0100987,-0.0197529,-0.0209178,-0.0242327,-0.0292794,-0.0326757,-0.0326237,-0.0330465,-0.0115425,0.0168663,-0.0022958,-0.0697023,-0.0473039,-0.0246759,-0.0162118,-0.0111656,-0.0079788,-0.0052518,-0.0025529,-0.0004445,-0.0100987
3.0000000,-2.0000000,0.0619349,0.9070000,530.3700000,14.2433500,153793.7812500, ,p[psid],-0.0079535,-0.0166578,-0.0261518,-0.0282532,-0.0334570,-0.0385247,-0.0405993,-0.0440806,-0.0258007,-0.0004690,0.0324342,-0.0426151,-0.0305815,-0.0195379,-0.0133450,-0.0058608,-0.0037845,-0.0022973,-0.0005564,0.0007509,-0.0079535
4.0000000,0.0000000,0.0629720,0.9070000,530.3700000,14.2433500,155076.0312500, ,p[psid],-0.0036975,-0.0105723,-0.0338833,-0.0367030,-0.0410779,-0.0474945,-0.0523816,-0.0598918,-0.0462414,-0.0259575,0.0582288,-0.0204691,-0.0152796,-0.0087701,-0.0045111,-0.0020507,-0.0005599,0.0006614,0.0019813,0.0031772,-0.0036975
5.0000000,2.0000000,0.0629321,0.9070000,530.3700000,14.2433500,155026.8906250, ,p[psid],-0.0040670,-0.0123791,-0.0246393,-0.0436041,-0.0469106,-0.0535123,-0.0606535,-0.0713797,-0.0625146,-0.0482540,0.0624673,-0.0046999,-0.0043223,-0.0017346,0.0006774,0.0017506,0.0024754,0.0030271,0.0036990,0.0042451,-0.0040670
6.0000000,4.0000000,0.0620295,0.9070000,530.3700000,14.2433500,153911.0781250, ,p[psid],-0.0041744,-0.0140418,-0.0240346,-0.0391334,-0.0554895,-0.0604902,-0.0693535,-0.0835626,-0.0812686,-0.0767531,0.0612636,0.0121414,0.0078662,0.0063802,0.0066325,0.0065018,0.0063222,0.0060300,0.0060060,0.0056931,-0.0041744
7.0000000,6.0000000,0.0642619,0.9070000,530.3700000,14.2433500,156656.2968750, ,p[psid],-0.0044820,-0.0159652,-0.0287835,-0.0409653,-0.0511384,-0.0768835,-0.0835367,-0.0996503,-0.1052212,-0.1109423,0.0522767,0.0266037,0.0187531,0.0138794,0.0123094,0.0109434,0.0099599,0.0089118,0.0081638,0.0070012,-0.0044820
8.0000000,8.0000000,0.0633984,0.9070000,530.3700000,14.2433500,155600.1562500, ,p[psid],-0.0035738,-0.0153436,-0.0290083,-0.0432313,-0.0538273,-0.0729128,-0.0975502,-0.1099243,-0.1245823,-0.1425574,0.0246296,0.0382387,0.0281286,0.0205931,0.0174107,0.0149844,0.0133032,0.0114883,0.0100488,0.0081960,-0.0035738
9.0000000,10.0000000,0.0643433,0.9070000,530.3700000,14.2433500,156755.4218750, ,p[psid],-0.0035322,-0.0156260,-0.0297465,-0.0456202,-0.0593609,-0.0711733,-0.1147321,-0.1239845,-0.1451620,-0.1731024,-0.0099772,0.0466498,0.0353288,0.0258211,0.0213893,0.0180611,0.0157236,0.0132913,0.0111492,0.0085616,-0.0035322
10.0000000,12.0000000,0.0641265,0.9070000,530.3700000,14.2433500,156491.1562500, ,p[psid],-0.0033808,-0.0148879,-0.0274369,-0.0434386,-0.0593368,-0.0775456,-0.0986120,-0.1385687,-0.1624582,-0.2016878,-0.0545784,0.0532094,0.0415726,0.0306466,0.0250182,0.0208154,0.0178403,0.0146510,0.0117525,0.0081262,-0.0033808
11.0000000,14.0000000,0.0614619,0.9070000,530.3700000,14.2433500,153205.2812500, ,p[psid],-0.0075997,-0.0205622,-0.0280001,-0.0393255,-0.0532849,-0.0710173,-0.0903184,-0.1301832,-0.1641833,-0.2050932,-0.0814135,0.0538486,0.0427129,0.0313319,0.0252579,0.0205651,0.0170829,0.0133986,0.0098415,0.0053629,-0.0075997
12.0000000,16.0000000,0.0608344,0.9070000,530.3700000,14.2433500,152421.2500000, ,p[psid],-0.0125709,-0.0280156,-0.0305551,-0.0342068,-0.0438958,-0.0613785,-0.0827471,-0.1200291,-0.1704457,-0.2102685,-0.1063473,0.0554235,0.0446416,0.0328610,0.0262412,0.0209471,0.0169970,0.0126669,0.0083248,0.0028738,-0.0125709
13.0000000,18.0000000,0.0612244,0.9070000,530.3700000,14.2433500,152909.0468750, ,p[psid],-0.0275832,-0.0528928,-0.0517395,-0.0514721,-0.0503957,-0.0544366,-0.0658374,-0.0927564,-0.1470304,-0.1677852,-0.1041843,0.0560621,0.0453115,0.0330398,0.0258569,0.0198942,0.0153673,0.0101855,0.0047766,-0.0022735,-0.0275832
14.0000000,20.0000000,0.0625874,0.9070000,530.3700000,14.2433500,154601.6718750, ,p[psid],-0.0320018,-0.0548374,-0.0542095,-0.0528490,-0.0508651,-0.0491163,-0.0482022,-0.0479022,-0.0486942,-0.0497293,-0.0152181,0.0523940,0.0415112,0.0297928,0.0226968,0.0164617,0.0114463,0.0055636,-0.0007698,-0.0091661,-0.0320018
15.0000000,22.0000000,0.0627749,0.9070000,530.3700000,14.2433500,154833.1718750, ,p[psid],-0.0368555,-0.0611553,-0.0608982,-0.0588106,-0.0574072,-0.0569434,-0.0566043,-0.0555010,-0.0558378,-0.0558760,-0.0244841,0.0535539,0.0424595,0.0300003,0.0223150,0.0155140,0.0100071,0.0035903,-0.0033249,-0.0125556,-0.0368555
16.0000000,24.0000000,0.0621170,0.9070000,530.3700000,14.2433500,154019.6250000, ,p[psid],-0.0393338,-0.0635452,-0.0626272,-0.0612938,-0.0598911,-0.0583201,-0.0575607,-0.0573492,-0.0580729,-0.0581639,-0.0324860,0.0545060,0.0435726,0.0307496,0.0225060,0.0152110,0.0091976,0.0023046,-0.0051553,-0.0151224,-0.0393338
17.0000000,26.0000000,0.0624713,0.9070000,530.3700000,14.2433500,154458.2187500, ,p[psid],-0.0416844,-0.0684578,-0.0671505,-0.0654061,-0.0639982,-0.0624686,-0.0614707,-0.0608741,-0.0613908,-0.0617353,-0.0442551,0.0574877,0.0472502,0.0341335,0.0254835,0.0176761,0.0112834,0.0037877,-0.0042488,-0.0149109,-0.0416844
18.0000000,24.0000000,0.0660424,0.9070000,530.3700000,14.2433500,158811.6250000, ,p[psid],-0.0427419,-0.0696836,-0.0682132,-0.0666855,-0.0646496,-0.0623098,-0.0605593,-0.0597304,-0.0605073,-0.0623146,-0.0350857,0.0585878,0.0470185,0.0333114,0.0245900,0.0166624,0.0102978,0.0028743,-0.0051791,-0.0158002,-0.0427419
19.0000000,22.0000000,0.0642421,0.9070000,530.3700000,14.2433500,156632.0781250, ,p[psid],-0.0372292,-0.0612986,-0.0612298,-0.0605880,-0.0591285,-0.0572636,-0.0555227,-0.0546857,-0.0550180,-0.0558063,-0.0229674,0.0547745,0.0433443,0.0305355,0.0226279,0.0155475,0.0098610,0.0032707,-0.0038073,-0.0131599,-0.0372292
