Velocity Profile of Model Wake

q Corr Factor,  0.907

Atm Press [Pa],  98510.000

Atm Temp [C],  21.000

Density [kg/m^3],  1.167

Average Tunnel Velocity [m/s],  20.244

Streamwise location [mm],238.100


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  18.255,  0.152,  17.387,  0.428
-58.000,  18.223,  0.169,  17.391,  0.467
-56.000,  18.181,  0.209,  17.371,  0.575
-54.000,  18.173,  0.210,  17.386,  0.600
-52.000,  18.209,  0.228,  17.438,  0.647
-50.000,  18.212,  0.299,  17.447,  0.781
-48.000,  18.161,  0.335,  17.446,  0.871
-46.000,  18.183,  0.345,  17.399,  0.945
-44.000,  18.155,  0.394,  17.350,  1.061
-42.000,  18.135,  0.433,  17.327,  1.196
-40.000,  18.039,  0.465,  17.177,  1.289
-38.000,  18.030,  0.520,  17.236,  1.401
-36.000,  17.994,  0.521,  17.136,  1.482
-34.000,  17.929,  0.593,  17.080,  1.614
-32.000,  17.854,  0.647,  17.025,  1.693
-30.000,  17.777,  0.645,  16.979,  1.783
-28.000,  17.692,  0.715,  16.864,  1.886
-26.000,  17.591,  0.767,  16.713,  2.022
-24.000,  17.603,  0.807,  16.540,  2.176
-22.000,  17.415,  0.858,  16.490,  2.205
-20.000,  17.308,  0.891,  16.396,  2.355
-18.000,  17.081,  0.955,  16.132,  2.454
-16.000,  16.855,  1.018,  16.082,  2.554
-14.000,  16.619,  1.080,  15.837,  2.629
-12.000,  16.419,  1.189,  15.644,  2.700
-10.000,  16.179,  1.305,  15.416,  2.789
-8.000,  15.897,  1.299,  15.275,  2.826
-6.000,  15.527,  1.421,  14.921,  2.898
-4.000,  15.235,  1.549,  14.520,  2.969
-2.000,  14.753,  1.685,  14.291,  2.962
0.000,  14.862,  1.724,  14.268,  2.974
2.000,  14.689,  1.736,  14.140,  2.989
4.000,  14.696,  1.812,  14.342,  3.015
6.000,  14.653,  1.744,  14.239,  2.992
8.000,  14.808,  1.765,  14.305,  2.959
10.000,  14.755,  1.571,  14.183,  3.010
12.000,  15.378,  1.541,  14.573,  2.941
14.000,  15.402,  1.531,  14.648,  3.010
16.000,  15.899,  1.335,  15.001,  2.933
18.000,  16.011,  1.233,  15.183,  2.881
20.000,  16.333,  1.223,  15.458,  2.837
22.000,  16.666,  1.163,  15.784,  2.784
24.000,  16.947,  1.047,  15.903,  2.636
26.000,  17.058,  0.992,  16.097,  2.576
28.000,  17.343,  0.885,  16.338,  2.553
30.000,  17.493,  0.889,  16.504,  2.365
32.000,  17.650,  0.835,  16.734,  2.305
34.000,  17.804,  0.809,  16.977,  2.254
36.000,  17.746,  0.748,  16.979,  2.091
38.000,  17.683,  0.703,  16.963,  1.967
40.000,  17.702,  0.696,  17.107,  1.831
42.000,  17.760,  0.608,  17.216,  1.758
44.000,  17.851,  0.561,  17.229,  1.666
46.000,  17.903,  0.517,  17.452,  1.573
48.000,  18.022,  0.492,  17.553,  1.442
50.000,  18.045,  0.461,  17.481,  1.327
52.000,  18.093,  0.391,  17.558,  1.180
54.000,  18.127,  0.360,  17.651,  1.158
56.000,  18.195,  0.337,  17.689,  0.990
58.000,  18.199,  0.290,  17.658,  0.940
60.000,  18.214,  0.242,  17.640,  0.822
